venue_name,date,time
Angel Stadium,2018-04-03,02:07:00
Angel Stadium,2018-04-04,02:07:00
Angel Stadium,2018-04-04,20:07:00
Angel Stadium,2018-04-07,02:07:00
Angel Stadium,2018-04-08,01:07:00
Angel Stadium,2018-04-08,20:07:00
Angel Stadium,2018-04-18,02:07:00
Angel Stadium,2018-04-19,02:07:00
Angel Stadium,2018-04-20,02:07:00
Angel Stadium,2018-04-21,02:07:00
Angel Stadium,2018-04-22,01:07:00
Angel Stadium,2018-04-22,20:07:00
Angel Stadium,2018-04-28,02:07:00
Angel Stadium,2018-04-29,01:07:00
Angel Stadium,2018-04-30,00:07:00
Angel Stadium,2018-05-02,02:07:00
Angel Stadium,2018-05-03,02:07:00
Angel Stadium,2018-05-04,02:07:00
Angel Stadium,2018-05-11,02:07:00
Angel Stadium,2018-05-12,02:07:00
Angel Stadium,2018-05-13,01:07:00
Angel Stadium,2018-05-13,20:07:00
Angel Stadium,2018-05-15,02:07:00
Angel Stadium,2018-05-16,02:07:00
Angel Stadium,2018-05-17,01:40:00
Angel Stadium,2018-05-18,02:07:00
Angel Stadium,2018-05-19,02:07:00
Angel Stadium,2018-05-20,01:07:00
Angel Stadium,2018-05-20,20:07:00
Angel Stadium,2018-06-02,02:07:00
Angel Stadium,2018-06-03,01:07:00
Angel Stadium,2018-06-03,20:07:00
Angel Stadium,2018-06-05,02:07:00
Angel Stadium,2018-06-06,02:07:00
Angel Stadium,2018-06-07,02:07:00
Angel Stadium,2018-06-19,02:07:00
Angel Stadium,2018-06-20,02:07:00
Angel Stadium,2018-06-22,02:07:00
Angel Stadium,2018-06-23,02:07:00
Angel Stadium,2018-06-24,01:07:00
Angel Stadium,2018-06-24,20:07:00
Angel Stadium,2018-07-07,02:07:00
Angel Stadium,2018-07-07,23:15:00
Angel Stadium,2018-07-09,00:05:00
Angel Stadium,2018-07-11,02:07:00
Angel Stadium,2018-07-12,02:07:00
Angel Stadium,2018-07-13,02:07:00
Angel Stadium,2018-07-21,02:07:00
Angel Stadium,2018-07-21,23:15:00
Angel Stadium,2018-07-22,20:07:00
Angel Stadium,2018-07-24,02:07:00
Angel Stadium,2018-07-25,02:07:00
Angel Stadium,2018-07-26,02:07:00
Angel Stadium,2018-07-26,20:07:00
Angel Stadium,2018-07-28,02:07:00
Angel Stadium,2018-07-29,01:07:00
Angel Stadium,2018-07-29,20:07:00
Angel Stadium,2018-08-07,02:07:00
Angel Stadium,2018-08-08,02:07:00
Angel Stadium,2018-08-08,20:07:00
Angel Stadium,2018-08-11,02:07:00
Angel Stadium,2018-08-12,01:07:00
Angel Stadium,2018-08-12,20:07:00
Angel Stadium,2018-08-25,02:07:00
Angel Stadium,2018-08-26,01:07:00
Angel Stadium,2018-08-26,20:07:00
Angel Stadium,2018-08-28,02:07:00
Angel Stadium,2018-08-29,02:07:00
Angel Stadium,2018-09-11,02:07:00
Angel Stadium,2018-09-12,02:07:00
Angel Stadium,2018-09-13,02:07:00
Angel Stadium,2018-09-14,02:07:00
Angel Stadium,2018-09-15,02:07:00
Angel Stadium,2018-09-16,01:07:00
Angel Stadium,2018-09-16,20:07:00
Angel Stadium,2018-09-25,02:07:00
Angel Stadium,2018-09-26,02:07:00
Angel Stadium,2018-09-27,02:07:00
Angel Stadium,2018-09-29,02:07:00
Angel Stadium,2018-09-30,01:07:00
Angel Stadium,2018-09-30,19:07:00
Angel Stadium,2019-03-25,00:07:00
Angel Stadium,2019-03-26,02:07:00
Angel Stadium,2019-04-05,02:07:00
Angel Stadium,2019-04-06,02:07:00
Angel Stadium,2019-04-06,20:05:00
Angel Stadium,2019-04-07,20:07:00
Angel Stadium,2019-04-09,02:07:00
Angel Stadium,2019-04-10,02:07:00
Angel Stadium,2019-04-11,02:07:00
Angel Stadium,2019-04-19,02:07:00
Angel Stadium,2019-04-20,02:07:00
Angel Stadium,2019-04-21,01:07:00
Angel Stadium,2019-04-21,20:07:00
Angel Stadium,2019-04-23,02:07:00
Angel Stadium,2019-04-24,02:07:00
Angel Stadium,2019-04-25,02:07:00
Angel Stadium,2019-04-26,01:07:00
Angel Stadium,2019-05-01,02:07:00
Angel Stadium,2019-05-02,02:07:00
Angel Stadium,2019-05-03,02:07:00
Angel Stadium,2019-05-18,02:07:00
Angel Stadium,2019-05-19,02:07:00
Angel Stadium,2019-05-19,20:07:00
Angel Stadium,2019-05-21,02:07:00
Angel Stadium,2019-05-22,02:07:00
Angel Stadium,2019-05-23,01:07:00
Angel Stadium,2019-05-23,20:07:00
Angel Stadium,2019-05-25,02:07:00
Angel Stadium,2019-05-26,02:07:00
Angel Stadium,2019-05-26,20:07:00
Angel Stadium,2019-06-05,02:07:00
Angel Stadium,2019-06-06,02:07:00
Angel Stadium,2019-06-07,02:07:00
Angel Stadium,2019-06-08,02:07:00
Angel Stadium,2019-06-09,02:07:00
Angel Stadium,2019-06-09,20:07:00
Angel Stadium,2019-06-11,02:07:00
Angel Stadium,2019-06-12,02:07:00
Angel Stadium,2019-06-26,02:07:00
Angel Stadium,2019-06-27,00:07:00
Angel Stadium,2019-06-28,02:07:00
Angel Stadium,2019-06-29,02:07:00
Angel Stadium,2019-06-30,02:07:00
Angel Stadium,2019-06-30,20:07:00
Angel Stadium,2019-07-13,02:07:00
Angel Stadium,2019-07-14,01:07:00
Angel Stadium,2019-07-14,20:07:00
Angel Stadium,2019-07-16,02:07:00
Angel Stadium,2019-07-17,02:07:00
Angel Stadium,2019-07-18,02:07:00
Angel Stadium,2019-07-19,01:07:00
Angel Stadium,2019-07-26,02:07:00
Angel Stadium,2019-07-27,02:07:00
Angel Stadium,2019-07-28,01:07:00
Angel Stadium,2019-07-28,20:07:00
Angel Stadium,2019-07-30,02:07:00
Angel Stadium,2019-07-31,02:07:00
Angel Stadium,2019-07-31,20:07:00
Angel Stadium,2019-08-13,02:07:00
Angel Stadium,2019-08-14,02:07:00
Angel Stadium,2019-08-15,00:07:00
Angel Stadium,2019-08-16,02:07:00
Angel Stadium,2019-08-17,02:07:00
Angel Stadium,2019-08-18,01:07:00
Angel Stadium,2019-08-18,20:07:00
Angel Stadium,2019-08-28,02:07:00
Angel Stadium,2019-08-29,02:07:00
Angel Stadium,2019-08-31,02:07:00
Angel Stadium,2019-09-01,01:07:00
Angel Stadium,2019-09-01,20:07:00
Angel Stadium,2019-09-10,02:07:00
Angel Stadium,2019-09-11,02:07:00
Angel Stadium,2019-09-12,00:07:00
Angel Stadium,2019-09-14,02:07:00
Angel Stadium,2019-09-15,01:07:00
Angel Stadium,2019-09-15,20:07:00
Angel Stadium,2019-09-25,02:07:00
Angel Stadium,2019-09-26,02:07:00
Angel Stadium,2019-09-27,02:07:00
Angel Stadium,2019-09-28,02:07:00
Angel Stadium,2019-09-29,01:07:00
Angel Stadium,2019-09-29,19:07:00
Angel Stadium,2020-07-29,01:40:00
Angel Stadium,2020-07-30,02:10:00
Angel Stadium,2020-07-31,01:40:00
Angel Stadium,2020-08-01,01:10:00
Angel Stadium,2020-08-01,23:07:00
Angel Stadium,2020-08-02,20:10:00
Angel Stadium,2020-08-11,01:40:00
Angel Stadium,2020-08-12,01:40:00
Angel Stadium,2020-08-12,20:10:00
Angel Stadium,2020-08-15,01:40:00
Angel Stadium,2020-08-16,01:40:00
Angel Stadium,2020-08-16,20:10:00
Angel Stadium,2020-08-18,01:40:00
Angel Stadium,2020-08-18,20:10:00
Angel Stadium,2020-08-29,01:40:00
Angel Stadium,2020-08-30,01:40:00
Angel Stadium,2020-08-30,20:10:00
Angel Stadium,2020-08-31,20:10:00
Angel Stadium,2020-09-03,01:40:00
Angel Stadium,2020-09-03,23:10:00
Angel Stadium,2020-09-05,01:10:00
Angel Stadium,2020-09-05,23:07:00
Angel Stadium,2020-09-05,23:12:00
Angel Stadium,2020-09-06,20:10:00
Angel Stadium,2020-09-16,01:40:00
Angel Stadium,2020-09-17,01:40:00
Angel Stadium,2020-09-17,20:10:00
Angel Stadium,2020-09-19,01:10:00
Angel Stadium,2020-09-20,01:10:00
Angel Stadium,2020-09-20,20:10:00
Angel Stadium,2020-09-21,20:10:00
Angel Stadium,2021-04-02,02:05:00
Angel Stadium,2021-04-03,01:38:00
Angel Stadium,2021-04-04,01:07:00
Angel Stadium,2021-04-05,00:37:00
Angel Stadium,2021-04-06,01:38:00
Angel Stadium,2021-04-06,20:07:00
Angel Stadium,2021-04-17,01:38:00
Angel Stadium,2021-04-18,01:07:00
Angel Stadium,2021-04-18,20:07:00
Angel Stadium,2021-04-20,01:38:00
Angel Stadium,2021-04-21,01:38:00
Angel Stadium,2021-04-21,20:07:00
Angel Stadium,2021-05-04,01:38:00
Angel Stadium,2021-05-05,01:38:00
Angel Stadium,2021-05-06,01:38:00
Angel Stadium,2021-05-07,01:38:00
Angel Stadium,2021-05-08,01:38:00
Angel Stadium,2021-05-09,01:07:00
Angel Stadium,2021-05-09,20:07:00
Angel Stadium,2021-05-18,01:38:00
Angel Stadium,2021-05-19,01:38:00
Angel Stadium,2021-05-20,00:07:00
Angel Stadium,2021-05-20,20:07:00
Angel Stadium,2021-05-20,23:07:00
Angel Stadium,2021-05-22,01:38:00
Angel Stadium,2021-05-23,02:07:00
Angel Stadium,2021-05-23,20:07:00
Angel Stadium,2021-05-26,01:38:00
Angel Stadium,2021-05-26,20:07:00
Angel Stadium,2021-06-04,01:38:00
Angel Stadium,2021-06-05,01:38:00
Angel Stadium,2021-06-06,02:07:00
Angel Stadium,2021-06-06,20:07:00
Angel Stadium,2021-06-08,01:38:00
Angel Stadium,2021-06-09,01:38:00
Angel Stadium,2021-06-10,01:38:00
Angel Stadium,2021-06-18,01:38:00
Angel Stadium,2021-06-19,01:38:00
Angel Stadium,2021-06-20,02:07:00
Angel Stadium,2021-06-20,20:07:00
Angel Stadium,2021-06-23,01:38:00
Angel Stadium,2021-06-23,20:07:00
Angel Stadium,2021-07-03,01:38:00
Angel Stadium,2021-07-04,02:07:00
Angel Stadium,2021-07-04,20:07:00
Angel Stadium,2021-07-06,01:38:00
Angel Stadium,2021-07-07,01:38:00
Angel Stadium,2021-07-07,20:07:00
Angel Stadium,2021-07-17,01:38:00
Angel Stadium,2021-07-18,01:07:00
Angel Stadium,2021-07-18,20:07:00
Angel Stadium,2021-07-27,01:38:00
Angel Stadium,2021-07-28,01:38:00
Angel Stadium,2021-07-29,01:38:00
Angel Stadium,2021-07-30,01:38:00
Angel Stadium,2021-07-31,01:38:00
Angel Stadium,2021-07-31,20:05:00
Angel Stadium,2021-08-01,20:07:00
Angel Stadium,2021-08-10,22:07:00
Angel Stadium,2021-08-11,02:07:00
Angel Stadium,2021-08-12,01:38:00
Angel Stadium,2021-08-13,01:38:00
Angel Stadium,2021-08-14,01:38:00
Angel Stadium,2021-08-15,01:07:00
Angel Stadium,2021-08-15,20:07:00
Angel Stadium,2021-08-28,01:38:00
Angel Stadium,2021-08-29,01:07:00
Angel Stadium,2021-08-31,01:38:00
Angel Stadium,2021-09-01,01:38:00
Angel Stadium,2021-09-01,23:07:00
Angel Stadium,2021-09-04,01:38:00
Angel Stadium,2021-09-05,01:07:00
Angel Stadium,2021-09-05,20:07:00
Angel Stadium,2021-09-07,01:07:00
Angel Stadium,2021-09-18,01:38:00
Angel Stadium,2021-09-19,01:07:00
Angel Stadium,2021-09-19,20:07:00
Angel Stadium,2021-09-21,01:38:00
Angel Stadium,2021-09-22,01:38:00
Angel Stadium,2021-09-23,01:38:00
Angel Stadium,2021-09-24,01:38:00
Angel Stadium,2021-09-25,01:38:00
Angel Stadium,2021-09-26,01:07:00
Angel Stadium,2021-09-26,20:07:00
Angel Stadium,2022-04-04,01:05:00
Angel Stadium,2022-04-08,01:38:00
Angel Stadium,2022-04-09,01:38:00
Angel Stadium,2022-04-10,01:07:00
Angel Stadium,2022-04-10,20:07:00
Angel Stadium,2022-04-12,01:38:00
Angel Stadium,2022-04-12,23:07:00
Angel Stadium,2022-04-23,01:38:00
Angel Stadium,2022-04-24,01:07:00
Angel Stadium,2022-04-24,20:07:00
Angel Stadium,2022-04-26,01:38:00
Angel Stadium,2022-04-27,01:38:00
Angel Stadium,2022-04-28,01:38:00
Angel Stadium,2022-04-28,20:07:00
Angel Stadium,2022-05-07,01:38:00
Angel Stadium,2022-05-08,01:07:00
Angel Stadium,2022-05-08,20:07:00
Angel Stadium,2022-05-10,01:38:00
Angel Stadium,2022-05-11,01:38:00
Angel Stadium,2022-05-11,23:07:00
Angel Stadium,2022-05-21,01:38:00
Angel Stadium,2022-05-22,01:07:00
Angel Stadium,2022-05-22,20:07:00
Angel Stadium,2022-05-25,01:38:00
Angel Stadium,2022-05-26,01:38:00
Angel Stadium,2022-05-27,01:38:00
Angel Stadium,2022-05-28,01:38:00
Angel Stadium,2022-05-29,02:07:00
Angel Stadium,2022-05-29,20:07:00
Angel Stadium,2022-06-07,01:38:00
Angel Stadium,2022-06-08,01:38:00
Angel Stadium,2022-06-09,01:38:00
Angel Stadium,2022-06-10,01:38:00
Angel Stadium,2022-06-11,01:38:00
Angel Stadium,2022-06-12,02:07:00
Angel Stadium,2022-06-12,23:08:00
Angel Stadium,2022-06-21,01:38:00
Angel Stadium,2022-06-22,01:38:00
Angel Stadium,2022-06-23,01:49:00
Angel Stadium,2022-06-25,01:38:00
Angel Stadium,2022-06-26,02:07:00
Angel Stadium,2022-06-26,20:07:00
Angel Stadium,2022-06-28,01:38:00
Angel Stadium,2022-06-29,01:38:00
Angel Stadium,2022-06-30,01:38:00
Angel Stadium,2022-07-13,01:38:00
Angel Stadium,2022-07-14,01:38:00
Angel Stadium,2022-07-15,00:07:00
Angel Stadium,2022-07-16,01:38:00
Angel Stadium,2022-07-17,02:07:00
Angel Stadium,2022-07-29,01:38:00
Angel Stadium,2022-07-30,01:38:00
Angel Stadium,2022-07-31,01:07:00
Angel Stadium,2022-07-31,20:07:00
Angel Stadium,2022-08-03,01:38:00
Angel Stadium,2022-08-04,01:38:00
Angel Stadium,2022-08-04,20:07:00
Angel Stadium,2022-08-13,01:38:00
Angel Stadium,2022-08-14,01:07:00
Angel Stadium,2022-08-14,20:07:00
Angel Stadium,2022-08-16,01:38:00
Angel Stadium,2022-08-17,01:38:00
Angel Stadium,2022-08-17,20:07:00
Angel Stadium,2022-08-30,01:38:00
Angel Stadium,2022-08-31,01:38:00
Angel Stadium,2022-09-01,01:38:00
Angel Stadium,2022-09-03,01:38:00
Angel Stadium,2022-09-04,01:07:00
Angel Stadium,2022-09-04,20:07:00
Angel Stadium,2022-09-06,01:38:00
Angel Stadium,2022-09-07,01:38:00
Angel Stadium,2022-09-07,20:07:00
Angel Stadium,2022-09-17,01:38:00
Angel Stadium,2022-09-18,01:07:00
Angel Stadium,2022-09-18,20:07:00
Angel Stadium,2022-09-19,20:07:00
Angel Stadium,2022-09-28,01:38:00
Angel Stadium,2022-09-29,01:38:00
Angel Stadium,2022-09-30,01:38:00
Angel Stadium,2022-10-01,01:38:00
Angel Stadium,2022-10-02,01:07:00
Angel Stadium,2022-10-02,20:07:00
Angel Stadium,2023-04-08,01:38:00
Angel Stadium,2023-04-09,01:07:00
Angel Stadium,2023-04-09,20:07:00
Angel Stadium,2023-04-11,01:38:00
Angel Stadium,2023-04-12,01:38:00
Angel Stadium,2023-04-12,20:07:00
Angel Stadium,2023-04-22,01:38:00
Angel Stadium,2023-04-23,01:07:00
Angel Stadium,2023-04-23,20:07:00
Angel Stadium,2023-04-25,01:38:00
Angel Stadium,2023-04-26,01:38:00
Angel Stadium,2023-04-27,01:38:00
Angel Stadium,2023-04-27,20:07:00
Angel Stadium,2023-05-06,01:38:00
Angel Stadium,2023-05-07,01:07:00
Angel Stadium,2023-05-07,20:07:00
Angel Stadium,2023-05-09,01:38:00
Angel Stadium,2023-05-10,01:38:00
Angel Stadium,2023-05-10,20:07:00
Angel Stadium,2023-05-20,01:38:00
Angel Stadium,2023-05-21,02:07:00
Angel Stadium,2023-05-21,20:07:00
Angel Stadium,2023-05-23,01:38:00
Angel Stadium,2023-05-24,01:38:00
Angel Stadium,2023-05-25,01:38:00
Angel Stadium,2023-05-27,01:38:00
Angel Stadium,2023-05-28,02:07:00
Angel Stadium,2023-05-28,20:07:00
Angel Stadium,2023-06-07,01:38:00
Angel Stadium,2023-06-08,01:38:00
Angel Stadium,2023-06-09,01:38:00
Angel Stadium,2023-06-10,01:38:00
Angel Stadium,2023-06-11,02:07:00
Angel Stadium,2023-06-11,20:07:00
Angel Stadium,2023-06-21,02:07:00
Angel Stadium,2023-06-22,01:38:00
Angel Stadium,2023-06-27,01:38:00
Angel Stadium,2023-06-28,01:38:00
Angel Stadium,2023-06-29,01:38:00
Angel Stadium,2023-06-29,20:07:00
Angel Stadium,2023-07-01,01:38:00
Angel Stadium,2023-07-02,02:07:00
Angel Stadium,2023-07-02,20:07:00
Angel Stadium,2023-07-15,01:38:00
Angel Stadium,2023-07-16,01:07:00
Angel Stadium,2023-07-16,23:10:00
Angel Stadium,2023-07-18,01:38:00
Angel Stadium,2023-07-19,01:38:00
Angel Stadium,2023-07-19,23:07:00
Angel Stadium,2023-07-22,01:38:00
Angel Stadium,2023-07-23,01:07:00
Angel Stadium,2023-07-23,20:07:00
Angel Stadium,2023-08-04,01:38:00
Angel Stadium,2023-08-05,01:38:00
Angel Stadium,2023-08-06,01:07:00
Angel Stadium,2023-08-06,20:07:00
Angel Stadium,2023-08-08,01:38:00
Angel Stadium,2023-08-09,01:38:00
Angel Stadium,2023-08-10,01:38:00
Angel Stadium,2023-08-19,01:38:00
Angel Stadium,2023-08-19,20:07:00
Angel Stadium,2023-08-20,01:07:00
Angel Stadium,2023-08-22,01:38:00
Angel Stadium,2023-08-23,01:38:00
Angel Stadium,2023-08-23,20:07:00
Angel Stadium,2023-08-24,01:38:00
Angel Stadium,2023-09-05,01:38:00
Angel Stadium,2023-09-06,01:38:00
Angel Stadium,2023-09-07,01:38:00
Angel Stadium,2023-09-08,01:38:00
Angel Stadium,2023-09-09,01:38:00
Angel Stadium,2023-09-10,01:07:00
Angel Stadium,2023-09-10,20:07:00
Angel Stadium,2023-09-16,01:38:00
Angel Stadium,2023-09-17,01:07:00
Angel Stadium,2023-09-17,20:07:00
Angel Stadium,2023-09-26,01:38:00
Angel Stadium,2023-09-27,01:38:00
Angel Stadium,2023-09-28,01:38:00
Angel Stadium,2023-09-30,01:38:00
Angel Stadium,2023-10-01,01:07:00
Angel Stadium,2023-10-01,19:07:00
