venue_name,date,time
AT&T Park,2017-04-10,20:35:00
AT&T Park,2017-04-12,02:15:00
AT&T Park,2017-04-13,02:15:00
AT&T Park,2017-04-14,02:15:00
AT&T Park,2017-04-15,02:15:00
AT&T Park,2017-04-15,20:05:00
AT&T Park,2017-04-16,20:05:00
AT&T Park,2017-04-25,02:15:00
AT&T Park,2017-04-26,02:15:00
AT&T Park,2017-04-27,02:15:00
AT&T Park,2017-04-27,19:45:00
AT&T Park,2017-04-29,02:15:00
AT&T Park,2017-04-30,01:05:00
AT&T Park,2017-04-30,20:05:00
AT&T Park,2017-05-12,02:15:00
AT&T Park,2017-05-13,02:15:00
AT&T Park,2017-05-13,20:05:00
AT&T Park,2017-05-14,20:05:00
AT&T Park,2017-05-16,02:15:00
AT&T Park,2017-05-17,02:15:00
AT&T Park,2017-05-17,19:45:00
AT&T Park,2017-05-27,02:15:00
AT&T Park,2017-05-28,02:05:00
AT&T Park,2017-05-28,20:05:00
AT&T Park,2017-05-29,20:05:00
AT&T Park,2017-05-31,02:15:00
AT&T Park,2017-06-01,02:15:00
AT&T Park,2017-06-10,02:15:00
AT&T Park,2017-06-10,20:05:00
AT&T Park,2017-06-11,20:05:00
AT&T Park,2017-06-14,02:15:00
AT&T Park,2017-06-14,19:45:00
AT&T Park,2017-06-24,02:15:00
AT&T Park,2017-06-24,23:15:00
AT&T Park,2017-06-25,20:05:00
AT&T Park,2017-06-27,02:08:00
AT&T Park,2017-06-28,02:15:00
AT&T Park,2017-06-28,19:45:00
AT&T Park,2017-07-08,02:15:00
AT&T Park,2017-07-09,02:05:00
AT&T Park,2017-07-09,20:05:00
AT&T Park,2017-07-18,02:15:00
AT&T Park,2017-07-19,02:15:00
AT&T Park,2017-07-19,19:45:00
AT&T Park,2017-07-21,02:15:00
AT&T Park,2017-07-22,02:15:00
AT&T Park,2017-07-22,20:05:00
AT&T Park,2017-07-23,20:05:00
AT&T Park,2017-07-25,02:15:00
AT&T Park,2017-07-26,02:15:00
AT&T Park,2017-07-26,19:45:00
AT&T Park,2017-08-03,02:15:00
AT&T Park,2017-08-04,02:15:00
AT&T Park,2017-08-05,02:15:00
AT&T Park,2017-08-06,01:05:00
AT&T Park,2017-08-06,20:05:00
AT&T Park,2017-08-08,02:08:00
AT&T Park,2017-08-09,02:15:00
AT&T Park,2017-08-09,19:45:00
AT&T Park,2017-08-18,02:15:00
AT&T Park,2017-08-19,02:15:00
AT&T Park,2017-08-20,01:05:00
AT&T Park,2017-08-20,20:05:00
AT&T Park,2017-08-22,02:15:00
AT&T Park,2017-08-23,02:15:00
AT&T Park,2017-08-23,19:45:00
AT&T Park,2017-09-01,02:15:00
AT&T Park,2017-09-02,02:15:00
AT&T Park,2017-09-02,20:05:00
AT&T Park,2017-09-03,20:05:00
AT&T Park,2017-09-12,02:15:00
AT&T Park,2017-09-13,02:15:00
AT&T Park,2017-09-14,02:15:00
AT&T Park,2017-09-16,02:15:00
AT&T Park,2017-09-17,01:05:00
AT&T Park,2017-09-17,20:05:00
AT&T Park,2017-09-20,02:15:00
AT&T Park,2017-09-20,19:45:00
AT&T Park,2017-09-30,02:15:00
AT&T Park,2017-09-30,20:05:00
AT&T Park,2017-10-01,19:05:00
AT&T Park,2018-04-03,20:35:00
AT&T Park,2018-04-04,23:15:00
AT&T Park,2018-04-07,02:15:00
AT&T Park,2018-04-07,22:05:00
AT&T Park,2018-04-08,20:05:00
AT&T Park,2018-04-10,02:15:00
AT&T Park,2018-04-11,02:15:00
AT&T Park,2018-04-11,19:45:00
AT&T Park,2018-04-24,02:15:00
AT&T Park,2018-04-25,02:15:00
AT&T Park,2018-04-25,19:45:00
AT&T Park,2018-04-28,02:15:00
AT&T Park,2018-04-28,20:05:00
AT&T Park,2018-04-29,02:05:00
AT&T Park,2018-04-29,21:05:00
AT&T Park,2018-05-01,02:15:00
AT&T Park,2018-05-02,02:15:00
AT&T Park,2018-05-02,19:45:00
AT&T Park,2018-05-15,02:15:00
AT&T Park,2018-05-16,02:15:00
AT&T Park,2018-05-16,19:45:00
AT&T Park,2018-05-18,02:15:00
AT&T Park,2018-05-19,02:15:00
AT&T Park,2018-05-19,20:05:00
AT&T Park,2018-05-20,20:05:00
AT&T Park,2018-06-02,02:15:00
AT&T Park,2018-06-03,02:05:00
AT&T Park,2018-06-03,20:05:00
AT&T Park,2018-06-05,02:10:00
AT&T Park,2018-06-06,02:15:00
AT&T Park,2018-06-06,19:45:00
AT&T Park,2018-06-19,02:15:00
AT&T Park,2018-06-20,02:15:00
AT&T Park,2018-06-20,19:45:00
AT&T Park,2018-06-22,02:15:00
AT&T Park,2018-06-23,02:15:00
AT&T Park,2018-06-23,20:05:00
AT&T Park,2018-06-24,20:05:00
AT&T Park,2018-06-27,02:15:00
AT&T Park,2018-06-28,02:15:00
AT&T Park,2018-06-28,19:45:00
AT&T Park,2018-07-06,02:15:00
AT&T Park,2018-07-07,02:15:00
AT&T Park,2018-07-07,20:05:00
AT&T Park,2018-07-08,20:05:00
AT&T Park,2018-07-10,02:15:00
AT&T Park,2018-07-11,02:15:00
AT&T Park,2018-07-11,19:45:00
AT&T Park,2018-07-14,02:15:00
AT&T Park,2018-07-15,02:05:00
AT&T Park,2018-07-15,20:05:00
AT&T Park,2018-07-27,02:15:00
AT&T Park,2018-07-28,02:15:00
AT&T Park,2018-07-29,01:05:00
AT&T Park,2018-07-29,20:05:00
AT&T Park,2018-08-07,02:15:00
AT&T Park,2018-08-07,19:45:00
AT&T Park,2018-08-10,02:15:00
AT&T Park,2018-08-11,02:15:00
AT&T Park,2018-08-12,01:05:00
AT&T Park,2018-08-12,20:05:00
AT&T Park,2018-08-25,02:15:00
AT&T Park,2018-08-25,20:05:00
AT&T Park,2018-08-26,20:05:00
AT&T Park,2018-08-28,02:15:00
AT&T Park,2018-08-29,02:15:00
AT&T Park,2018-08-30,02:15:00
AT&T Park,2018-09-01,02:15:00
AT&T Park,2018-09-01,20:05:00
AT&T Park,2018-09-02,20:05:00
AT&T Park,2018-09-11,02:15:00
AT&T Park,2018-09-12,02:15:00
AT&T Park,2018-09-12,19:45:00
AT&T Park,2018-09-15,02:15:00
AT&T Park,2018-09-16,01:05:00
AT&T Park,2018-09-16,20:05:00
AT&T Park,2018-09-25,02:15:00
AT&T Park,2018-09-26,02:15:00
AT&T Park,2018-09-27,02:15:00
AT&T Park,2018-09-29,02:15:00
AT&T Park,2018-09-29,20:05:00
AT&T Park,2018-09-30,19:05:00
Oracle Park,2019-03-26,01:45:00
Oracle Park,2019-03-27,01:45:00
Oracle Park,2019-04-05,20:35:00
Oracle Park,2019-04-06,20:05:00
Oracle Park,2019-04-07,20:05:00
Oracle Park,2019-04-09,01:45:00
Oracle Park,2019-04-10,01:45:00
Oracle Park,2019-04-10,19:45:00
Oracle Park,2019-04-12,01:45:00
Oracle Park,2019-04-13,02:15:00
Oracle Park,2019-04-13,20:05:00
Oracle Park,2019-04-14,20:05:00
Oracle Park,2019-04-27,02:15:00
Oracle Park,2019-04-27,20:05:00
Oracle Park,2019-04-28,20:05:00
Oracle Park,2019-04-30,01:45:00
Oracle Park,2019-05-01,01:45:00
Oracle Park,2019-05-02,01:45:00
Oracle Park,2019-05-11,02:15:00
Oracle Park,2019-05-12,01:05:00
Oracle Park,2019-05-12,20:05:00
Oracle Park,2019-05-15,01:45:00
Oracle Park,2019-05-15,19:45:00
Oracle Park,2019-05-21,01:45:00
Oracle Park,2019-05-22,01:45:00
Oracle Park,2019-05-23,01:45:00
Oracle Park,2019-05-23,19:45:00
Oracle Park,2019-05-25,02:15:00
Oracle Park,2019-05-25,20:05:00
Oracle Park,2019-05-26,20:05:00
Oracle Park,2019-06-08,02:15:00
Oracle Park,2019-06-08,23:15:00
Oracle Park,2019-06-09,20:05:00
Oracle Park,2019-06-12,01:45:00
Oracle Park,2019-06-13,01:45:00
Oracle Park,2019-06-15,02:15:00
Oracle Park,2019-06-15,20:05:00
Oracle Park,2019-06-16,20:05:00
Oracle Park,2019-06-25,02:05:00
Oracle Park,2019-06-26,01:45:00
Oracle Park,2019-06-26,19:45:00
Oracle Park,2019-06-28,01:45:00
Oracle Park,2019-06-29,02:15:00
Oracle Park,2019-06-30,02:05:00
Oracle Park,2019-06-30,20:05:00
Oracle Park,2019-07-06,02:15:00
Oracle Park,2019-07-07,02:05:00
Oracle Park,2019-07-07,20:05:00
Oracle Park,2019-07-19,01:45:00
Oracle Park,2019-07-20,02:15:00
Oracle Park,2019-07-20,20:05:00
Oracle Park,2019-07-21,20:05:00
Oracle Park,2019-07-23,01:45:00
Oracle Park,2019-07-24,01:45:00
Oracle Park,2019-07-24,19:45:00
Oracle Park,2019-08-06,01:45:00
Oracle Park,2019-08-07,01:45:00
Oracle Park,2019-08-07,19:45:00
Oracle Park,2019-08-09,01:45:00
Oracle Park,2019-08-10,02:15:00
Oracle Park,2019-08-10,20:05:00
Oracle Park,2019-08-11,23:05:00
Oracle Park,2019-08-14,01:45:00
Oracle Park,2019-08-14,19:45:00
Oracle Park,2019-08-27,01:45:00
Oracle Park,2019-08-28,01:45:00
Oracle Park,2019-08-30,01:45:00
Oracle Park,2019-08-31,02:15:00
Oracle Park,2019-09-01,01:05:00
Oracle Park,2019-09-01,20:05:00
Oracle Park,2019-09-10,01:45:00
Oracle Park,2019-09-11,01:45:00
Oracle Park,2019-09-12,01:45:00
Oracle Park,2019-09-12,19:45:00
Oracle Park,2019-09-14,02:15:00
Oracle Park,2019-09-15,01:05:00
Oracle Park,2019-09-15,20:05:00
Oracle Park,2019-09-25,01:45:00
Oracle Park,2019-09-26,01:45:00
Oracle Park,2019-09-26,19:45:00
Oracle Park,2019-09-28,02:15:00
Oracle Park,2019-09-28,20:05:00
Oracle Park,2019-09-29,19:05:00
Oracle Park,2020-07-29,01:45:00
Oracle Park,2020-07-30,01:45:00
Oracle Park,2020-07-31,01:45:00
Oracle Park,2020-08-01,01:10:00
Oracle Park,2020-08-02,01:10:00
Oracle Park,2020-08-02,20:05:00
Oracle Park,2020-08-15,01:45:00
Oracle Park,2020-08-15,23:07:00
Oracle Park,2020-08-16,20:05:00
Oracle Park,2020-08-20,01:45:00
Oracle Park,2020-08-21,01:45:00
Oracle Park,2020-08-22,01:45:00
Oracle Park,2020-08-23,01:15:00
Oracle Park,2020-08-23,20:10:00
Oracle Park,2020-08-26,01:45:00
Oracle Park,2020-08-27,01:45:00
Oracle Park,2020-08-27,20:05:00
Oracle Park,2020-08-27,20:10:00
Oracle Park,2020-09-05,01:45:00
Oracle Park,2020-09-06,01:15:00
Oracle Park,2020-09-06,20:05:00
Oracle Park,2020-09-08,00:05:00
Oracle Park,2020-09-09,01:45:00
Oracle Park,2020-09-10,01:45:00
Oracle Park,2020-09-17,01:45:00
Oracle Park,2020-09-17,20:10:00
Oracle Park,2020-09-22,01:45:00
Oracle Park,2020-09-23,01:45:00
Oracle Park,2020-09-24,01:45:00
Oracle Park,2020-09-24,19:45:00
Oracle Park,2020-09-25,23:10:00
Oracle Park,2020-09-25,23:15:00
Oracle Park,2020-09-27,01:15:00
Oracle Park,2020-09-27,19:05:00
Oracle Park,2021-04-09,20:35:00
Oracle Park,2021-04-10,20:05:00
Oracle Park,2021-04-11,20:05:00
Oracle Park,2021-04-13,01:45:00
Oracle Park,2021-04-14,01:45:00
Oracle Park,2021-04-14,19:45:00
Oracle Park,2021-04-23,01:45:00
Oracle Park,2021-04-24,01:45:00
Oracle Park,2021-04-25,01:05:00
Oracle Park,2021-04-25,20:05:00
Oracle Park,2021-04-27,01:45:00
Oracle Park,2021-04-28,01:45:00
Oracle Park,2021-04-29,01:45:00
Oracle Park,2021-05-08,01:45:00
Oracle Park,2021-05-08,20:05:00
Oracle Park,2021-05-09,20:05:00
Oracle Park,2021-05-11,01:45:00
Oracle Park,2021-05-11,19:45:00
Oracle Park,2021-05-22,01:45:00
Oracle Park,2021-05-22,23:15:00
Oracle Park,2021-05-23,20:05:00
Oracle Park,2021-05-31,20:05:00
Oracle Park,2021-06-02,01:45:00
Oracle Park,2021-06-04,01:45:00
Oracle Park,2021-06-05,01:45:00
Oracle Park,2021-06-05,23:15:00
Oracle Park,2021-06-06,20:05:00
Oracle Park,2021-06-15,01:45:00
Oracle Park,2021-06-16,01:45:00
Oracle Park,2021-06-17,01:45:00
Oracle Park,2021-06-17,19:45:00
Oracle Park,2021-06-19,01:45:00
Oracle Park,2021-06-19,20:05:00
Oracle Park,2021-06-20,20:05:00
Oracle Park,2021-06-26,01:45:00
Oracle Park,2021-06-27,02:05:00
Oracle Park,2021-06-27,20:05:00
Oracle Park,2021-07-05,22:05:00
Oracle Park,2021-07-07,01:45:00
Oracle Park,2021-07-08,01:45:00
Oracle Park,2021-07-10,01:45:00
Oracle Park,2021-07-10,20:05:00
Oracle Park,2021-07-11,20:05:00
Oracle Park,2021-07-24,01:45:00
Oracle Park,2021-07-25,01:05:00
Oracle Park,2021-07-25,20:05:00
Oracle Park,2021-07-28,01:45:00
Oracle Park,2021-07-29,01:45:00
Oracle Park,2021-07-29,19:45:00
Oracle Park,2021-07-31,01:45:00
Oracle Park,2021-07-31,20:05:00
Oracle Park,2021-08-01,20:05:00
Oracle Park,2021-08-11,01:45:00
Oracle Park,2021-08-12,01:45:00
Oracle Park,2021-08-13,01:45:00
Oracle Park,2021-08-14,01:45:00
Oracle Park,2021-08-15,01:05:00
Oracle Park,2021-08-15,20:05:00
Oracle Park,2021-08-17,01:45:00
Oracle Park,2021-08-18,01:45:00
Oracle Park,2021-08-18,19:45:00
Oracle Park,2021-08-31,01:45:00
Oracle Park,2021-09-01,01:45:00
Oracle Park,2021-09-02,01:45:00
Oracle Park,2021-09-02,19:45:00
Oracle Park,2021-09-04,01:45:00
Oracle Park,2021-09-05,01:05:00
Oracle Park,2021-09-05,23:08:00
Oracle Park,2021-09-14,01:45:00
Oracle Park,2021-09-15,01:45:00
Oracle Park,2021-09-16,01:45:00
Oracle Park,2021-09-16,19:45:00
Oracle Park,2021-09-18,01:45:00
Oracle Park,2021-09-19,01:05:00
Oracle Park,2021-09-19,20:05:00
Oracle Park,2021-09-29,01:45:00
Oracle Park,2021-09-30,01:45:00
Oracle Park,2021-10-01,01:45:00
Oracle Park,2021-10-02,01:45:00
Oracle Park,2021-10-02,20:05:00
Oracle Park,2021-10-03,19:05:00
Oracle Park,2021-10-09,01:37:00
Oracle Park,2021-10-10,01:07:00
Oracle Park,2021-10-15,01:07:00
Oracle Park,2022-04-08,20:35:00
Oracle Park,2022-04-09,20:05:00
Oracle Park,2022-04-10,20:05:00
Oracle Park,2022-04-12,01:45:00
Oracle Park,2022-04-13,01:45:00
