venue_name,date,time
Busch Stadium,2017-04-03,00:35:00
Busch Stadium,2017-04-05,00:15:00
Busch Stadium,2017-04-05,17:45:00
Busch Stadium,2017-04-06,17:45:00
Busch Stadium,2017-04-08,00:15:00
Busch Stadium,2017-04-08,18:15:00
Busch Stadium,2017-04-09,18:15:00
Busch Stadium,2017-04-17,23:05:00
Busch Stadium,2017-04-19,00:15:00
Busch Stadium,2017-04-19,17:45:00
Busch Stadium,2017-04-26,00:15:00
Busch Stadium,2017-04-27,00:15:00
Busch Stadium,2017-04-27,17:45:00
Busch Stadium,2017-04-27,23:15:00
Busch Stadium,2017-04-29,00:15:00
Busch Stadium,2017-04-29,18:15:00
Busch Stadium,2017-04-30,18:15:00
Busch Stadium,2017-05-02,00:15:00
Busch Stadium,2017-05-03,00:15:00
Busch Stadium,2017-05-04,00:15:00
Busch Stadium,2017-05-04,23:15:00
Busch Stadium,2017-05-13,00:15:00
Busch Stadium,2017-05-13,20:05:00
Busch Stadium,2017-05-14,18:15:00
Busch Stadium,2017-05-17,00:15:00
Busch Stadium,2017-05-18,00:15:00
Busch Stadium,2017-05-20,00:15:00
Busch Stadium,2017-05-20,23:15:00
Busch Stadium,2017-05-21,18:15:00
Busch Stadium,2017-05-29,18:15:00
Busch Stadium,2017-05-30,23:05:00
Busch Stadium,2017-06-01,00:15:00
Busch Stadium,2017-06-01,17:45:00
Busch Stadium,2017-06-10,00:15:00
Busch Stadium,2017-06-10,18:15:00
Busch Stadium,2017-06-11,18:15:00
Busch Stadium,2017-06-13,18:15:00
Busch Stadium,2017-06-14,00:15:00
Busch Stadium,2017-06-15,00:15:00
Busch Stadium,2017-06-15,23:15:00
Busch Stadium,2017-06-24,00:15:00
Busch Stadium,2017-06-24,23:15:00
Busch Stadium,2017-06-26,00:05:00
Busch Stadium,2017-06-26,20:15:00
Busch Stadium,2017-07-01,00:15:00
Busch Stadium,2017-07-01,23:15:00
Busch Stadium,2017-07-03,00:05:00
Busch Stadium,2017-07-03,23:15:00
Busch Stadium,2017-07-04,18:15:00
Busch Stadium,2017-07-06,00:15:00
Busch Stadium,2017-07-06,17:45:00
Busch Stadium,2017-07-08,00:15:00
Busch Stadium,2017-07-08,20:10:00
Busch Stadium,2017-07-09,18:15:00
Busch Stadium,2017-07-25,00:08:00
Busch Stadium,2017-07-26,00:15:00
Busch Stadium,2017-07-27,00:15:00
Busch Stadium,2017-07-27,23:15:00
Busch Stadium,2017-07-29,00:15:00
Busch Stadium,2017-07-29,23:15:00
Busch Stadium,2017-07-30,18:15:00
Busch Stadium,2017-08-10,00:15:00
Busch Stadium,2017-08-10,23:15:00
Busch Stadium,2017-08-12,00:15:00
Busch Stadium,2017-08-12,23:15:00
Busch Stadium,2017-08-13,18:15:00
Busch Stadium,2017-08-23,00:15:00
Busch Stadium,2017-08-24,00:15:00
Busch Stadium,2017-08-24,23:15:00
Busch Stadium,2017-08-26,00:15:00
Busch Stadium,2017-08-26,23:15:00
Busch Stadium,2017-08-27,18:15:00
Busch Stadium,2017-09-09,00:15:00
Busch Stadium,2017-09-09,23:15:00
Busch Stadium,2017-09-10,18:15:00
Busch Stadium,2017-09-13,00:15:00
Busch Stadium,2017-09-14,00:15:00
Busch Stadium,2017-09-14,17:45:00
Busch Stadium,2017-09-26,00:15:00
Busch Stadium,2017-09-27,00:15:00
Busch Stadium,2017-09-27,23:08:00
Busch Stadium,2017-09-28,23:15:00
Busch Stadium,2017-09-30,00:15:00
Busch Stadium,2017-09-30,20:15:00
Busch Stadium,2017-10-01,19:15:00
Busch Stadium,2018-04-05,23:15:00
Busch Stadium,2018-04-07,18:15:00
Busch Stadium,2018-04-08,18:15:00
Busch Stadium,2018-04-09,23:05:00
Busch Stadium,2018-04-11,00:15:00
Busch Stadium,2018-04-11,17:15:00
Busch Stadium,2018-04-21,00:15:00
Busch Stadium,2018-04-21,18:15:00
Busch Stadium,2018-04-22,18:15:00
Busch Stadium,2018-04-25,00:15:00
Busch Stadium,2018-04-26,00:15:00
Busch Stadium,2018-04-26,17:15:00
Busch Stadium,2018-05-02,00:15:00
Busch Stadium,2018-05-02,17:15:00
Busch Stadium,2018-05-05,00:15:00
Busch Stadium,2018-05-05,18:15:00
Busch Stadium,2018-05-07,00:05:00
Busch Stadium,2018-05-08,00:10:00
Busch Stadium,2018-05-08,17:15:00
Busch Stadium,2018-05-17,23:15:00
Busch Stadium,2018-05-19,00:15:00
Busch Stadium,2018-05-19,18:15:00
Busch Stadium,2018-05-20,18:15:00
Busch Stadium,2018-05-22,00:15:00
Busch Stadium,2018-05-23,00:15:00
Busch Stadium,2018-05-23,17:15:00
